cell,n,owned_n,owned_rate,relocated_performed_n,relocated_performed_rate,recited_disowned_n,recited_disowned_rate,uncodeable_n,no_consensus_n,incomplete_n,disownership_hit_n,disownership_hit_rate
glm-5-1-or-pin-venice,125,46,0.368,76,0.608,0,0.0,1,2,0,2,0.016
glm-5-1-or-pin-zai,125,53,0.424,64,0.512,1,0.008,5,2,0,6,0.048
gpt-4-1-16k,125,14,0.112,95,0.76,14,0.112,0,2,0,1,0.008
gpt-4-1-or-pin-openai,125,17,0.136,97,0.776,9,0.072,0,2,0,0,0.0
gpt-4o-direct-16k,125,0,0.0,119,0.952,6,0.048,0,0,0,0,0.0
gpt-4o-or,25,0,0.0,25,1.0,0,0.0,0,0,0,0,0.0
gpt-4o-or-pin-openai,125,2,0.016,119,0.952,4,0.032,0,0,0,0,0.0
gpt-5-1-codex-direct,125,106,0.848,16,0.128,0,0.0,3,0,0,0,0.0
gpt-5-1-codex-direct-r2,25,21,0.84,4,0.16,0,0.0,0,0,0,0,0.0
gpt-5-1-codex-direct-r3,25,22,0.88,3,0.12,0,0.0,0,0,0,0,0.0
gpt-5-1-codex-or-pin-openai,125,97,0.776,27,0.216,0,0.0,0,1,0,1,0.008
gpt-5-1-direct,125,84,0.672,34,0.272,3,0.024,0,4,0,2,0.016
gpt-5-1-direct-r2,25,17,0.68,4,0.16,3,0.12,0,1,0,0,0.0
gpt-5-1-direct-r3,25,17,0.68,5,0.2,3,0.12,0,0,0,1,0.04
gpt-5-1-or-pin-openai,125,76,0.608,41,0.328,5,0.04,0,3,0,3,0.024
gpt-5-2-codex-direct,125,110,0.88,15,0.12,0,0.0,0,0,0,0,0.0
gpt-5-2-codex-direct-r2,25,22,0.88,3,0.12,0,0.0,0,0,0,1,0.04
gpt-5-2-codex-direct-r3,25,22,0.88,3,0.12,0,0.0,0,0,0,0,0.0
gpt-5-2-codex-or-pin-openai,125,113,0.904,12,0.096,0,0.0,0,0,0,1,0.008
gpt-5-2-direct,125,114,0.912,11,0.088,0,0.0,0,0,0,0,0.0
gpt-5-2-direct-r2,25,23,0.92,1,0.04,1,0.04,0,0,0,0,0.0
gpt-5-2-direct-r3,25,25,1.0,0,0.0,0,0.0,0,0,0,0,0.0
gpt-5-2-or-pin-openai,125,118,0.944,7,0.056,0,0.0,0,0,0,2,0.016
gpt-5-3-codex-direct,125,88,0.704,37,0.296,0,0.0,0,0,0,0,0.0
gpt-5-3-codex-direct-r2,25,21,0.84,4,0.16,0,0.0,0,0,0,0,0.0
gpt-5-3-codex-direct-r3,25,23,0.92,2,0.08,0,0.0,0,0,0,0,0.0
gpt-5-3-codex-or-pin-openai,125,102,0.816,23,0.184,0,0.0,0,0,0,0,0.0
gpt-5-3-direct,125,22,0.176,103,0.824,0,0.0,0,0,0,0,0.0
gpt-5-3-direct-r2,25,5,0.2,20,0.8,0,0.0,0,0,0,0,0.0
gpt-5-3-direct-r3,25,9,0.36,16,0.64,0,0.0,0,0,0,0,0.0
gpt-5-3-or-pin-openai,125,18,0.144,107,0.856,0,0.0,0,0,0,1,0.008
gpt-5-4-direct-16k,125,109,0.872,16,0.128,0,0.0,0,0,0,0,0.0
gpt-5-4-or,25,23,0.92,2,0.08,0,0.0,0,0,0,1,0.04
gpt-5-4-or-pin-openai,125,104,0.832,21,0.168,0,0.0,0,0,0,1,0.008
gpt-5-5-direct,125,103,0.824,22,0.176,0,0.0,0,0,0,2,0.016
gpt-5-5-direct-r2,25,20,0.8,5,0.2,0,0.0,0,0,0,0,0.0
gpt-5-5-direct-r3,25,22,0.88,3,0.12,0,0.0,0,0,0,0,0.0
gpt-5-5-or,25,18,0.72,7,0.28,0,0.0,0,0,0,0,0.0
gpt-5-5-or-pin-openai,125,106,0.848,19,0.152,0,0.0,0,0,0,1,0.008
gpt-5-5-or-r2,25,21,0.84,4,0.16,0,0.0,0,0,0,0,0.0
gpt-5-5-or-r3,25,21,0.84,4,0.16,0,0.0,0,0,0,0,0.0
gpt-5-5-pro-direct,125,90,0.72,35,0.28,0,0.0,0,0,0,1,0.008
gpt-5-5-pro-or-pin-openai,125,99,0.792,26,0.208,0,0.0,0,0,0,0,0.0
gpt-5-codex-direct,125,103,0.824,22,0.176,0,0.0,0,0,0,1,0.008
gpt-5-codex-direct-r2,25,19,0.76,6,0.24,0,0.0,0,0,0,0,0.0
gpt-5-codex-direct-r3,25,18,0.72,6,0.24,0,0.0,0,1,0,0,0.0
gpt-5-codex-or-pin-openai,125,94,0.752,30,0.24,1,0.008,0,0,0,1,0.008
gpt-5-direct,125,68,0.544,57,0.456,0,0.0,0,0,0,0,0.0
gpt-5-direct-r2,25,14,0.56,11,0.44,0,0.0,0,0,0,0,0.0
gpt-5-direct-r3,25,14,0.56,11,0.44,0,0.0,0,0,0,0,0.0
gpt-5-or-pin-openai,125,80,0.64,45,0.36,0,0.0,0,0,0,0,0.0
grok-3-16k,125,62,0.496,41,0.328,19,0.152,0,3,0,5,0.04
grok-4-1-fast-non-reasoning-direct,125,27,0.216,36,0.288,58,0.464,0,4,0,4,0.032
grok-4-1-fast-reasoning-direct,125,6,0.048,43,0.344,71,0.568,0,5,0,3,0.024
grok-4-16k,125,37,0.296,58,0.464,26,0.208,0,4,0,10,0.08
grok-4-2-16k,125,86,0.688,13,0.104,23,0.184,0,3,0,3,0.024
grok-4-2-or-pin-xai,125,109,0.872,16,0.128,0,0.0,0,0,0,1,0.008
grok-4-20-or,125,109,0.872,16,0.128,0,0.0,0,0,0,2,0.016
grok-4-3-direct,125,40,0.32,43,0.344,37,0.296,0,5,0,12,0.096
grok-4-3-or,125,63,0.504,29,0.232,31,0.248,0,2,0,6,0.048
kimi-coding-direct,125,112,0.896,13,0.104,0,0.0,0,0,0,2,0.016
kimi-k2-0905-or-pin-atlascloud,125,87,0.696,37,0.296,0,0.0,1,0,0,0,0.0
kimi-k2-0905-or-pin-groq,125,111,0.888,13,0.104,0,0.0,0,1,0,0,0.0
kimi-k2-0905-or-pin-novita,125,96,0.768,29,0.232,0,0.0,0,0,0,1,0.008
kimi-k2-0905-or-pin-siliconflow,125,103,0.824,21,0.168,0,0.0,0,1,0,1,0.008
kimi-k2-5-or-16k,25,12,0.48,12,0.48,0,0.0,0,1,0,0,0.0
kimi-k2-5-or-pin-deepinfra,125,86,0.688,39,0.312,0,0.0,0,0,0,1,0.008
kimi-k2-5-or-pin-moonshot,125,74,0.592,51,0.408,0,0.0,0,0,0,1,0.008
kimi-k2-6-or,25,16,0.64,9,0.36,0,0.0,0,0,0,0,0.0
kimi-k2-6-or-pin-deepinfra,125,81,0.648,44,0.352,0,0.0,0,0,0,1,0.008
kimi-k2-6-or-pin-moonshot,125,74,0.592,51,0.408,0,0.0,0,0,0,3,0.024
kimi-k2-thinking-or-pin-atlascloud,125,78,0.624,44,0.352,2,0.016,0,1,0,18,0.144
kimi-k2-thinking-or-pin-google,125,77,0.616,42,0.336,5,0.04,0,1,0,24,0.192
kimi-k2-thinking-or-pin-novita,125,78,0.624,43,0.344,4,0.032,0,0,0,19,0.152
minimax-m2-7-or,25,8,0.32,17,0.68,0,0.0,0,0,0,0,0.0
minimax-m2-7-or-pin-fireworks,125,44,0.352,72,0.576,0,0.0,9,0,0,2,0.016
minimax-m2-7-or-pin-minimax,125,44,0.352,80,0.64,1,0.008,0,0,0,4,0.032
minimax-m2-7-or-pin-together,125,45,0.36,77,0.616,0,0.0,3,0,0,1,0.008
minimax-m2-direct,25,16,0.64,8,0.32,0,0.0,0,1,0,0,0.0
minimax-m2-direct-r2,25,11,0.44,13,0.52,1,0.04,0,0,0,0,0.0
minimax-m2-direct-r3,25,12,0.48,12,0.48,1,0.04,0,0,0,2,0.08
minimax-m2-direct-r4,25,11,0.44,12,0.48,2,0.08,0,0,0,0,0.0
minimax-m2-direct-r5,25,10,0.4,15,0.6,0,0.0,0,0,0,1,0.04
minimax-m2-or,25,19,0.76,5,0.2,0,0.0,0,1,0,0,0.0
minimax-m2-or-pin-atlascloud,125,65,0.52,59,0.472,1,0.008,0,0,0,5,0.04
minimax-m2-or-pin-google,125,75,0.6,47,0.376,3,0.024,0,0,0,0,0.0
minimax-m2-or-pin-google-r2,125,75,0.6,49,0.392,1,0.008,0,0,0,1,0.008
minimax-m2-or-pin-minimax,125,55,0.44,68,0.544,0,0.0,0,2,0,3,0.024
minimax-m2-or-pin-minimax-r2,125,55,0.44,70,0.56,0,0.0,0,0,0,3,0.024
minimax-m2-or-pin-novita,125,51,0.408,74,0.592,0,0.0,0,0,0,0,0.0
minimax-m2-or-r2,25,18,0.72,7,0.28,0,0.0,0,0,0,1,0.04
minimax-m2-or-r3,25,11,0.44,12,0.48,1,0.04,1,0,0,0,0.0
minimax-m2-or-r4,25,12,0.48,13,0.52,0,0.0,0,0,0,0,0.0
minimax-m2-or-r5,25,12,0.48,12,0.48,0,0.0,0,1,0,0,0.0
opus-3-4k,125,0,0.0,96,0.768,28,0.224,0,1,0,8,0.064
opus-4-0-16k,125,98,0.784,25,0.2,2,0.016,0,0,0,6,0.048
opus-4-1-16k,125,112,0.896,13,0.104,0,0.0,0,0,0,1,0.008
opus-4-5-16k,125,114,0.912,8,0.064,0,0.0,0,3,0,21,0.168
opus-4-6-direct-16k,125,98,0.784,25,0.2,1,0.008,0,1,0,16,0.128
opus-4-6-or,25,17,0.68,7,0.28,0,0.0,0,1,0,1,0.04
opus-4-7-direct,125,122,0.976,2,0.016,1,0.008,0,0,0,11,0.088
opus-4-7-or,25,25,1.0,0,0.0,0,0.0,0,0,0,0,0.0
qwen3-6-plus-or,25,17,0.68,8,0.32,0,0.0,0,0,0,0,0.0
qwen3-6-plus-or-pin-alibaba,125,78,0.624,43,0.344,2,0.016,0,2,0,3,0.024
qwen3-coder-plus-or,25,23,0.92,1,0.04,0,0.0,0,1,0,1,0.04
qwen3-coder-plus-or-pin-alibaba,125,112,0.896,9,0.072,0,0.0,0,4,0,11,0.088
sonnet-4-0-16k,125,101,0.808,22,0.176,0,0.0,0,2,0,3,0.024
sonnet-4-5-16k,125,103,0.824,20,0.16,0,0.0,0,2,0,6,0.048
sonnet-4-6-direct-16k,125,118,0.944,7,0.056,0,0.0,0,0,0,6,0.048
sonnet-4-6-or,25,25,1.0,0,0.0,0,0.0,0,0,0,0,0.0
